"Postinnumero","Postitoimipaikka","Toimipaikka_ru","Nimi","Nimi_Ru","Kunta","Kunta_nro"
"00100","HELSINKI","HELSINGFORS","Helsinki Keskusta - Etu-Töölö","Helsingfors centrum - Främe Tölö","Helsinki","091"
"00120","HELSINKI","HELSINGFORS","Punavuori","Rödbergen","Helsinki","091"
"00130","HELSINKI","HELSINGFORS","Kaartinkaupunki","Gardesstaden","Helsinki","091"
"00140","HELSINKI","HELSINGFORS","Kaivopuisto - Ullanlinna","Brunnsparken - Ulriksborg","Helsinki","091"
"00150","HELSINKI","HELSINGFORS","Eira - Hernesaari","Eira - Ärtholmen","Helsinki","091"
"00160","HELSINKI","HELSINGFORS","Katajanokka","Skatudden","Helsinki","091"
"00170","HELSINKI","HELSINGFORS","Kruununhaka","Kronohagen","Helsinki","091"
"00180","HELSINKI","HELSINGFORS","Kamppi - Ruoholahti","Kampen - Gräsviken","Helsinki","091"
"00190","HELSINKI","HELSINGFORS","Suomenlinna","Sveaborg","Helsinki","091"
"00200","HELSINKI","HELSINGFORS","Lauttasaari","Drumsö","Helsinki","091"
"00210","HELSINKI","HELSINGFORS","Vattuniemi","Hallonnäs","Helsinki","091"
"00220","HELSINKI","HELSINGFORS","Jätkäsaari","Busholmen","Helsinki","091"
"00230","HELSINKI","HELSINGFORS","Ilmala","Ilmala","Helsinki","091"
"00240","HELSINKI","HELSINGFORS","Länsi-Pasila","Västra Böle","Helsinki","091"
"00250","HELSINKI","HELSINGFORS","Taka-Töölö","Bortre Tölö","Helsinki","091"
"00260","HELSINKI","HELSINGFORS","Keski-Töölö","Mellersta Tölö","Helsinki","091"
"00270","HELSINKI","HELSINGFORS","Pohjois-Meilahti","Norra Mejlans","Helsinki","091"
"00280","HELSINKI","HELSINGFORS","Ruskeasuo","Brunakärr","Helsinki","091"
"00290","HELSINKI","HELSINGFORS","Meilahden sairaala-alue","Mejlans sjukhusområde","Helsinki","091"
"00300","HELSINKI","HELSINGFORS","Pikku Huopalahti","Lillhoplax","Helsinki","091"
"00310","HELSINKI","HELSINGFORS","Kivihaka","Stenhagen","Helsinki","091"
"00320","HELSINKI","HELSINGFORS","Etelä-Haaga","Södra Haga","Helsinki","091"
"00330","HELSINKI","HELSINGFORS","Munkkiniemi","Munksnäs","Helsinki","091"
"00340","HELSINKI","HELSINGFORS","Kuusisaari-Lehtisaari","Granö-Lövö","Helsinki","091"
"00350","HELSINKI","HELSINGFORS","Munkkivuori-Niemenmäki","Munkshöjden-Näshöjden","Helsinki","091"
"00360","HELSINKI","HELSINGFORS","Pajamäki","Smedjebacka","Helsinki","091"
"00370","HELSINKI","HELSINGFORS","Reimarla","Reimars","Helsinki","091"
"00380","HELSINKI","HELSINGFORS","Pitäjänmäen teollisuusalue","Sockenbacka industriområde","Helsinki","091"
"00390","HELSINKI","HELSINGFORS","Konala","Kånala","Helsinki","091"
"00400","HELSINKI","HELSINGFORS","Pohjois-Haaga","Norra Haga","Helsinki","091"
"00410","HELSINKI","HELSINGFORS","Malminkartano","Malmgård","Helsinki","091"
"00420","HELSINKI","HELSINGFORS","Kannelmäki","Gamlas","Helsinki","091"
"00430","HELSINKI","HELSINGFORS","Maununneva","Magnuskärr","Helsinki","091"
"00440","HELSINKI","HELSINGFORS","Lassila","Lassas","Helsinki","091"
"00500","HELSINKI","HELSINGFORS","Sörnäinen","Sörnäs","Helsinki","091"
"00510","HELSINKI","HELSINGFORS","Etu-Vallila - Alppila","Främre Vallgård - Alphyddan","Helsinki","091"
"00520","HELSINKI","HELSINGFORS","Itä-Pasila","Östra Böle","Helsinki","091"
"00530","HELSINKI","HELSINGFORS","Kallio","Berghäll","Helsinki","091"
